,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
0,"654,714",liupengsay,"Python3_132,C++_1",35.0,68.5,65.0,79.3,33.0,86.8,311,"Kth Smallest Amount With Single Denomination Combination,Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Kth Smallest Amount With Single Denomination Combination,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Longest Strictly Increasing or Strictly Decreasing Subarray,Lexicographically Smallest String After Operations With Constraint,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Longest Strictly Increasing or Strictly Decreasing Subarray",33.0,"Dynamic Programming-16,Rolling Hash-8,Trie-8,Shortest Path-4,Monotonic Stack-3,Union Find-2,Segment Tree-2,Monotonic Queue-2","Hash Table-30,Math-28,Greedy-25,Bit Manipulation-14,Binary Search-13,Sliding Window-13,Graph-7,Breadth-First Search-2","Array-95,String-37,Sorting-29,Enumeration-16,Simulation-9,Matrix-7,Two Pointers-7,Stack-3"
1,"552,785",waakaaka,C++_156,44.0,74.4,81.0,82.8,31.0,85.8,159,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k,Maximum Length Substring With Two Occurrences,Distribute Elements Into Two Arrays II,Minimum Operations to Write the Letter Y on a Grid,Count Submatrices with Top-Left Element and Sum Less Than k,Distribute Elements Into Two Arrays I,Earliest Second to Mark Indices II,Earliest Second to Mark Indices I,Find the Largest Area of Square Inside Two Rectangles",33.0,"Dynamic Programming-23,Monotonic Stack-6,Trie-5,Union Find-4,Segment Tree-4,Binary Indexed Tree-3,Rolling Hash-2,Bitmask-2","Math-36,Hash Table-32,Greedy-27,Binary Search-15,Bit Manipulation-14,Sliding Window-11,Tree-8,Graph-6","Array-110,String-28,Sorting-15,Matrix-13,Simulation-11,Enumeration-10,Stack-10,Two Pointers-6"
2,"1,235",uwi,"Java_1770,Python3_5,C++_1",428.0,99.8,914.0,99.94,424.0,99.95,330,"Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Operations to Make Median of Array Equal to K,Minimum Cost Walk in Weighted Graph,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Harshad Number,Water Bottles II,Minimize Manhattan Distances,Count Alternating Subarrays,Count Substrings Starting and Ending with Given Character,Minimum Deletions to Make String K-Special",66.0,"Dynamic Programming-304,Backtracking-54,Union Find-52,Monotonic Stack-39,Trie-33,Bitmask-31,Segment Tree-24,Binary Indexed Tree-21","Hash Table-374,Math-311,Greedy-264,Binary Search-162,Depth-First Search-153,Bit Manipulation-130,Breadth-First Search-128,Tree-116","Array-1081,String-454,Sorting-272,Matrix-137,Two Pointers-121,Simulation-114,Stack-93,Enumeration-61"
4,"1,212",numb3r5,"Python3_1547,C++_291,MySQL_35",475.0,99.9,922.0,99.94,377.0,99.93,"1,122","Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String",352.0,"Dynamic Programming-322,Union Find-65,Backtracking-61,Trie-32,Monotonic Stack-32,Divide and Conquer-29,Segment Tree-28,Topological Sort-24","Hash Table-355,Math-285,Greedy-213,Binary Search-204,Depth-First Search-186,Breadth-First Search-155,Tree-139,Bit Manipulation-122","Array-1035,String-394,Sorting-270,Matrix-141,Two Pointers-137,Simulation-104,Stack-88,Linked List-58"
5,54,Wanjun Li,"C++_2688,MySQL_181,JavaScript_2",733.0,99.99,1532.0,99.99,611.0,99.99,591,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II",89.0,"Dynamic Programming-472,Backtracking-101,Union Find-78,Monotonic Stack-55,Trie-49,Divide and Conquer-44,Bitmask-43,Segment Tree-37","Hash Table-561,Math-478,Greedy-350,Depth-First Search-276,Binary Search-249,Breadth-First Search-223,Tree-218,Bit Manipulation-199","Array-1577,String-669,Sorting-386,Matrix-214,Two Pointers-196,Simulation-147,Stack-144,Enumeration-76"
7,"139,550",Kai Wen Yang,"C++_380,Java_21,MySQL_13",103.0,91.3,168.0,92.6,141.0,98.9,384,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Changes to Make K Semi-palindromes,Maximum Strength of K Disjoint Subarrays,Shortest Uncommon Substring in an Array,Maximize Happiness of Selected Children,Apple Redistribution into Boxes,Distribute Elements Into Two Arrays II,Minimum Operations to Write the Letter Y on a Grid",53.0,"Dynamic Programming-94,Rolling Hash-12,Union Find-10,Backtracking-9,Divide and Conquer-9,Topological Sort-9,Trie-8,Segment Tree-8","Hash Table-74,Math-66,Greedy-63,Binary Search-47,Depth-First Search-30,Bit Manipulation-30,Graph-26,Breadth-First Search-26","Array-257,String-95,Sorting-63,Matrix-36,Two Pointers-33,Simulation-24,Enumeration-16,Stack-16"
12,"8,668",LayCurse,C++_1075,276.0,99.3,531.0,99.5,268.0,99.8,265,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",47.0,"Dynamic Programming-182,Union Find-34,Backtracking-28,Monotonic Stack-22,Bitmask-21,Trie-16,Segment Tree-15,Topological Sort-15","Hash Table-219,Math-187,Greedy-178,Binary Search-107,Bit Manipulation-85,Depth-First Search-63,Breadth-First Search-63,Graph-59","Array-682,String-278,Sorting-173,Matrix-85,Simulation-69,Two Pointers-56,Stack-51,Enumeration-39"
13,"1,319",Ethan,"Java_1387,C++_779,Python3_575",488.0,99.91,868.0,99.92,382.0,99.93,825,"Combination Sum III,Find All Groups of Farmland,Number of Islands,Island Perimeter,Find Original Array From Doubled Array,Smallest String Starting From Leaf,Minimize Malware Spread II,Add One Row to Tree,Minimize Malware Spread,Sum Root to Leaf Numbers,Sum of Left Leaves,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array",306.0,"Dynamic Programming-284,Backtracking-58,Union Find-51,Monotonic Stack-35,Divide and Conquer-32,Trie-30,Segment Tree-27,Bitmask-20","Hash Table-354,Math-277,Greedy-207,Depth-First Search-178,Binary Search-168,Breadth-First Search-154,Tree-142,Binary Tree-112","Array-976,String-421,Sorting-251,Two Pointers-141,Matrix-129,Stack-102,Simulation-96,Linked List-59"
14,"2,536",twitch_tv_qiqi_impact,"Python3_1475,C++_20,Java_4",338.0,99.7,763.0,99.9,382.0,99.93,"1,814","Smallest String Starting From Leaf,Subarray Product Less Than K,Time Needed to Rearrange a Binary String,Minimum Number of Moves to Seat Everyone,Jump Game,Find Beautiful Indices in the Given Array II,String Compression,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points",171.0,"Dynamic Programming-306,Backtracking-53,Union Find-49,Monotonic Stack-36,Bitmask-29,Trie-28,Segment Tree-28,Divide and Conquer-23","Hash Table-323,Math-253,Greedy-212,Binary Search-154,Depth-First Search-137,Bit Manipulation-120,Breadth-First Search-114,Graph-98","Array-912,String-343,Sorting-231,Matrix-115,Two Pointers-92,Simulation-81,Stack-75,Enumeration-55"
15,"457,130",stupid rr,C++_186,50.0,77.4,90.0,84.5,46.0,91.1,295,"Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Rectangles to Cover Points,Minimum Time to Visit Disappearing Nodes,Score of a String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays",55.0,"Dynamic Programming-29,Rolling Hash-6,Trie-6,Monotonic Stack-5,Segment Tree-4,Monotonic Queue-4,Binary Indexed Tree-3,Union Find-2","Hash Table-42,Math-40,Greedy-34,Bit Manipulation-22,Sliding Window-19,Binary Search-12,Graph-10,Tree-8","Array-131,String-41,Sorting-28,Enumeration-16,Matrix-11,Simulation-11,Stack-5,Queue-5"
