name,cluster,submissions_count,likes_count,companies_count
two-sum,1,24500000,55700,23
add-two-numbers,1,10500000,30400,13
longest-substring-without-repeating-characters,1,16300000,39100,21
median-of-two-sorted-arrays,1,6300000,27800,13
longest-palindromic-substring,1,8900000,28900,17
zigzag-conversion,3,2700000,7400,4
reverse-integer,1,11000000,12700,8
string-to-integer-(atoi),2,8700000,4300,6
palindrome-number,2,8000000,12300,7
regular-expression-matching,2,3400000,11900,6
container-with-most-water,2,5200000,28500,10
integer-to-roman,2,2000000,6900,10
roman-to-integer,2,5800000,13700,7
longest-common-prefix,1,7600000,17100,13
3sum,1,10000000,30200,14
3sum-closest,3,2600000,10300,3
letter-combinations-of-a-phone-number,2,3300000,18100,11
4sum,2,2600000,11100,9
remove-nth-node-from-end-of-list,2,5900000,18500,7
valid-parentheses,1,11000000,23600,29
merge-two-sorted-lists,1,6300000,21400,14
generate-parentheses,2,2400000,20700,14
merge-k-sorted-lists,2,3700000,19100,11
swap-nodes-in-pairs,2,2100000,11800,5
reverse-nodes-in-k-group,2,1500000,13400,6
remove-duplicates-from-sorted-array,2,7500000,14000,9
remove-element,2,4900000,2200,9
find-the-index-of-the-first-occurrence-in-a-string,2,5700000,5600,5
divide-two-integers,3,4200000,5000,3
substring-with-concatenation-of-all-words,3,1300000,1700,2
next-permutation,2,3300000,18000,9
longest-valid-parentheses,2,2100000,12200,4
search-in-rotated-sorted-array,1,6600000,25700,16
find-first-and-last-position-of-element-in-sorted-array,2,4500000,20100,9
search-insert-position,2,6100000,15800,6
valid-sudoku,2,2500000,10400,10
sudoku-solver,3,941100,9300,7
count-and-say,3,1700000,3800,4
combination-sum,2,2600000,18400,10
combination-sum-ii,3,1700000,10200,4
first-missing-positive,2,3000000,16600,10
trapping-rain-water,1,3200000,30900,19
multiply-strings,3,1900000,6900,6
wildcard-matching,3,2000000,8100,4
jump-game-ii,2,3000000,14200,6
permutations,2,2600000,18700,7
permutations-ii,3,1500000,8400,2
rotate-image,2,2200000,17200,13
group-anagrams,1,4099999,18800,21
"pow(x,-n)",2,4600000,9400,10
n-queens,3,1000000,12100,6
n-queens-ii,4,510800,3800,1
maximum-subarray,1,7500000,33500,14
spiral-matrix,2,2800000,14400,10
jump-game,2,4800000,18900,8
merge-intervals,1,4900000,21800,24
insert-interval,2,2600000,10100,10
length-of-last-word,2,3700000,5000,5
spiral-matrix-ii,3,794900,6300,1
permutation-sequence,3,827000,6600,2
rotate-list,3,2500000,9400,1
unique-paths,2,2800000,16400,4
unique-paths-ii,3,2200000,8600,5
minimum-path-sum,3,1800000,12200,4
valid-number,3,1800000,1200,3
plus-one,2,4800000,9100,7
add-binary,2,2700000,9300,5
text-justification,3,938400,3600,11
sqrt(x),2,4900000,8000,9
climbing-stairs,1,6000000,21500,14
simplify-path,3,1700000,5400,7
edit-distance,2,1500000,14500,7
set-matrix-zeroes,2,2500000,14100,7
search-a-2d-matrix,2,3400000,15400,9
sort-colors,2,3000000,17700,10
minimum-window-substring,2,3100000,17600,9
combinations,3,1300000,8100,1
subsets,2,2300000,16600,7
word-search,2,3800000,15600,13
remove-duplicates-from-sorted-array-ii,3,1600000,6700,3
search-in-rotated-sorted-array-ii,3,1900000,8300,1
remove-duplicates-from-sorted-list-ii,3,1500000,8700,3
remove-duplicates-from-sorted-list,3,2800000,8500,3
largest-rectangle-in-histogram,2,1900000,16800,7
maximal-rectangle,3,847100,9800,3
partition-list,3,1100000,7200,3
scramble-string,3,564300,3300,2
merge-sorted-array,2,6100000,14300,12
gray-code,4,497400,2200,1
subsets-ii,3,1600000,9500,3
decode-ways,2,3500000,11700,7
reverse-linked-list-ii,2,1800000,11400,7
restore-ip-addresses,3,906700,5100,3
binary-tree-inorder-traversal,2,3300000,13200,5
unique-binary-search-trees-ii,3,775400,7500,1
unique-binary-search-trees,3,1100000,10200,1
interleaving-string,3,1300000,8100,3
validate-binary-search-tree,2,7000000,16500,11
recover-binary-search-tree,3,843000,7800,1
same-tree,2,3400000,11300,5
symmetric-tree,2,3500000,15100,6
binary-tree-level-order-traversal,2,3300000,15000,7
binary-tree-zigzag-level-order-traversal,2,1900000,10600,7
maximum-depth-of-binary-tree,2,4000000,12600,5
construct-binary-tree-from-preorder-and-inorder-traversal,2,1900000,14700,4
construct-binary-tree-from-inorder-and-postorder-traversal,3,1000000,7900,1
binary-tree-level-order-traversal-ii,3,1000000,4800,1
convert-sorted-array-to-binary-search-tree,3,1600000,10800,1
convert-sorted-list-to-binary-search-tree,3,841900,7400,4
balanced-binary-tree,2,2800000,10500,5
minimum-depth-of-binary-tree,3,2500000,7200,1
path-sum,3,2800000,9500,3
path-sum-ii,3,1400000,7800,2
flatten-binary-tree-to-linked-list,3,1400000,12000,2
distinct-subsequences,3,826400,6500,3
populating-next-right-pointers-in-each-node,2,1600000,9600,8
populating-next-right-pointers-in-each-node-ii,3,1200000,5800,3
pascal's-triangle,2,2200000,12600,7
pascal's-triangle-ii,3,1400000,4800,3
triangle,3,1300000,9400,2
best-time-to-buy-and-sell-stock,1,8400000,30300,25
best-time-to-buy-and-sell-stock-ii,2,2800000,13300,8
best-time-to-buy-and-sell-stock-iii,3,1200000,9500,1
binary-tree-maximum-path-sum,2,3000000,16300,13
valid-palindrome,2,6100000,9100,7
word-ladder-ii,3,1300000,5900,2
word-ladder,2,2700000,11800,11
longest-consecutive-sequence,2,3600000,19500,10
sum-root-to-leaf-numbers,3,1200000,7500,2
surrounded-regions,3,1700000,8400,2
palindrome-partitioning,3,1200000,12300,2
palindrome-partitioning-ii,3,811400,5300,1
clone-graph,3,2100000,9300,3
gas-station,2,1700000,11700,6
candy,3,1200000,7600,4
single-number,2,3700000,16200,5
single-number-ii,3,914200,7700,1
copy-list-with-random-pointer,2,2200000,13600,6
word-break,2,3500000,16900,7
word-break-ii,3,1200000,6700,5
linked-list-cycle,2,5700000,15200,4
linked-list-cycle-ii,2,2500000,13300,3
reorder-list,2,1600000,10900,6
binary-tree-preorder-traversal,3,2300000,7900,3
binary-tree-postorder-traversal,3,1600000,6800,2
lru-cache,1,3800000,20300,24
insertion-sort-list,4,684000,3000,1
sort-list,3,1300000,11300,3
max-points-on-a-line,3,1400000,4100,2
evaluate-reverse-polish-notation,3,2000000,7500,6
